,exchange,name,pairs,area_code,coin_trade,fut_trade,oct_trade
0,58coin,58COIN,43,uk,Y,N,Y
1,5yg,牛币网,0,hk,Y,N,N
2,7ebit,7EBIT,83,uk,Y,N,Y
3,9coinexchange,9Coin,32,au,Y,N,Y
4,aacoin,AAcoin,30,uk,Y,N,Y
5,abcc,ABCC,101,sg,Y,N,N
6,acx,ACX,8,au,Y,N,N
7,aex,AEX,86,uk,Y,N,Y
8,aidos-market,AidosMarket,1,,Y,N,N
9,allcoin,Allcoin,68,ca,Y,N,N
10,altcoin-trader,Altcoin Trader,10,za,Y,N,N
11,amom,A.mom,32,hk,Y,N,Y
12,asbtc,爱尚比特,28,hk,Y,N,N
13,bbx,BBX,7,mt,Y,N,N
14,bcex,BCEX,101,ca,Y,N,N
15,betop,Be.Top,36,kr,Y,N,N
16,bgjio,币管家,27,sc,Y,N,Y
17,bgogo,Bgogo,29,ky,Y,N,N
18,bibox,Bibox,194,ee,Y,N,Y
19,biclub,BiClub,9,sc,Y,N,Y
20,bige,币阁,28,hk,Y,N,Y
21,bigone,BigOne,93,,Y,N,N
22,bihuex,币虎全球BihuEX,50,ky,Y,N,N
23,bilaxy,币系,63,sc,Y,N,N
24,binance,币安网,376,,Y,N,N
25,bit-z,Bit-Z,183,us,Y,N,N
26,bit2c,Bit2C,3,,Y,N,N
27,bitbank,Bitbank,8,jp,Y,N,N
28,bitbay,BitBay,31,pl,Y,N,N
29,bitbitx,币币网,29,ca,Y,N,N
30,bitcoin-indonesia,Indodax,31,id,Y,N,N
31,bitcointoyou,BitcoinToYou,1,br,Y,N,N
32,biteceo,CEO交易所,63,hk,Y,N,Y
33,bitex-la,Bitex.la,1,,Y,N,N
34,bitfinex,Bitfinex,249,hk,Y,Y,N
35,bitflip,BitFlip,66,,Y,N,N
36,bitflyer,bitFlyer,4,jp,Y,Y,N
37,bitforex,币夫,118,sg,Y,N,Y
38,bithumb,Bithumb,26,kr,Y,N,N
39,bitinfi,BITINFI,18,hk,Y,N,N
40,bitker,币客,22,sg,Y,N,Y
41,bitlish,Bitlish,32,uk,Y,N,N
42,bitmarket,BitMarket,8,pl,Y,N,N
43,bitmaszyna,Bitmaszyna,2,,Y,N,N
44,bitmex,BitMEX,8,sc,N,Y,N
45,bitonic,Bitonic,1,nl,Y,N,N
46,bitop,BI网,51,,Y,N,N
47,bitrabbit,比特兔交易所,21,au,Y,N,N
48,bits-blockchain,Bits Blockchain,12,,Y,N,N
49,bitsane,Bitsane,35,,Y,N,N
50,bitso,Bitso,11,mx,Y,N,N
51,bitsquare,Bitsquare,6,,Y,N,N
52,bitstamp,Bitstamp,12,uk,Y,N,N
53,bitstamp-ripple-gateway,Bitstamp (Ripple Gateway),7,uk,Y,N,N
54,bitthai,BitThai,0,th,Y,N,N
55,bittrex,B网,280,us,Y,Y,N
56,bittylicious,Bittylicious,38,uk,Y,N,N
57,bizu,币族,26,sc,Y,N,Y
58,bjs,笔加索,22,uk,Y,N,Y
59,bkex,BKEX,17,uk,Y,N,Y
60,bl3p,BL3P,2,nl,Y,N,N
61,bleutrade,Bleutrade,118,,Y,N,N
62,bnt-smart-token-contract,Bancor Network,1,il,Y,N,N
63,boxex,BoxEx,15,ws,Y,N,N
64,braziliex,Braziliex,54,,Y,N,N
65,btb,比特兄弟,58,,Y,N,Y
66,btc-alpha,BTC Alpha,67,us,Y,N,N
67,btc-markets,BTC Markets,11,au,Y,N,N
68,btc-trade-ua,BTC Trade UA,15,,Y,N,N
69,btc-x,BTC-X,1,hk,Y,N,N
70,btc98,比特酒吧,27,hk,Y,N,N
71,btcbl,BTCBL,31,ca,Y,N,Y
72,btcbox,BTCBOX,4,jp,Y,N,N
73,btcdo,币为,24,th,Y,N,N
74,btctrade-im,比特币交易网,23,hk,Y,N,N
75,btcturk,BTCTurk,4,tr,Y,N,N
76,btex,比太网,9,uk,Y,N,Y
77,btktrade,比特王,105,kh,Y,N,Y
78,bx-thailand,BX.in.th,24,th,Y,N,N
79,c2cx,C2CX,39,ch,Y,N,N
80,cex,CEX,295,sg,Y,N,N
81,cex-io,CEX.IO,24,uk,Y,N,N
82,cfinex,Cfinex,14,,Y,N,N
83,chaince,畅思,9,ch,Y,N,N
84,chaobicom,炒币网,21,cy,Y,N,Y
85,chaoex,炒客网,52,hk,Y,N,N
86,cobinhood,柯宾汉,114,us,Y,N,N
87,coin918,COIN918,218,au,Y,N,N
88,coinall,币全,9,mt,Y,N,N
89,coinba,新加坡币多网,18,sg,Y,N,Y
90,coinbasepro,Coinbase Pro,15,us,Y,N,N
91,coinbbt,CoinBBT,0,hk,Y,N,N
92,coinbene,满币网,122,sg,Y,N,Y
93,coincheck,Coincheck,1,jp,Y,N,N
94,coinchel,Coinchel,0,kr,Y,N,Y
95,coincoming,币来网,0,hk,Y,N,N
96,coineal,Coineal币尔,54,sc,Y,N,N
97,coinegg,币蛋,164,uk,Y,N,N
98,coinex,CoinEx,144,hk,Y,N,N
99,coinexchange,CoinExchange,489,,Y,N,N
100,coinfalcon,CoinFalcon,69,uk,Y,N,N
101,coinfloor,Coinfloor,5,uk,Y,N,N
102,coingi,Coingi,9,,Y,N,N
103,coinmarket,Coinmarket,33,sc,Y,N,N
104,coinmate,CoinMate,1,,Y,N,N
105,coinmex,CoinMex,27,bz,Y,N,Y
106,coinnest,COINNEST,21,kr,Y,N,N
107,coinone,Coinone,15,kr,Y,N,N
108,coinpark,CoinPark,23,hk,Y,N,N
109,coinrail,Coinrail,62,kr,Y,N,N
110,coinrate,Coinrate,5,uk,Y,N,N
111,coinred,币红,6,uk,Y,N,N
112,coinsbank,CoinsBank,7,,Y,N,N
113,coinsquare,Coinsquare,6,ca,Y,N,N
114,coinsuper,Coinsuper,47,hk,Y,N,Y
115,cointiger,CoinTiger,80,sg,Y,N,Y
116,coinw,币赢国际站,49,hk,Y,N,Y
117,coinx,CoinX,35,ph,Y,N,N
118,coinxpro,币次元,12,sc,Y,N,N
119,coinyee,币易,45,sg,Y,N,N
120,coolcoin,酷币,24,au,Y,N,N
121,coss,COSS,118,,Y,N,N
122,crex24,CREX24,255,sc,Y,N,N
123,cryptobridge,CryptoBridge,135,,Y,N,N
124,cryptogro,CryptoGro,0,us,Y,N,N
125,cryptohub,Crypto Hub,178,,Y,N,N
126,cryptomarket,CryptoMarket,12,,Y,N,N
127,cryptomate,Cryptomate,19,uk,Y,N,N
128,cryptopia,C网,1357,nz,Y,N,N
129,ddex,DDEX,36,ky,Y,N,N
130,debi,DeBi,15,sc,Y,N,N
131,dew,DEW,12,us,Y,Y,N
132,dextop,DEx.top,20,ch,Y,N,N
133,dgtmarket,Dgtmarket,3,,Y,N,N
134,dobitrade,多比交易平台,24,hk,Y,N,N
135,dragonex,DragonEx,82,sg,Y,N,Y
136,dsx,DSX,24,uk,Y,N,N
137,easycoin,EasyCoin,1,,Y,N,N
138,etherflyer,以飞交易所,41,ws,Y,N,N
139,ethfinex,Ethfinex,124,,N,N,N
140,excambriorex,ExcambrioRex,1,,Y,N,N
141,excash,EX.cash,32,sc,Y,N,N
142,exmo,Exmo,78,es,Y,N,N
143,exrates,Exrates,180,,Y,N,N
144,exx,Exx,73,au,Y,Y,Y
145,f8coin,F8交易所,5,us,Y,N,N
146,fatbtc,胖比特,28,us,Y,N,N
147,fcoin,FCoin,164,,Y,N,N
148,fex,FEX,28,hk,Y,N,N
149,fisco,Fisco,5,,Y,N,N
150,forkdelta,ForkDelta,167,,Y,N,N
151,freiexchange,FreiExchange,16,,Y,N,N
152,fubt,香港富比特,100,hk,Y,N,Y
153,funcoin,Funcoin,59,sc,Y,N,Y
154,gaex,GAEX,15,by,Y,N,Y
155,gate-io,比特儿海外版,355,,Y,N,Y
156,gatehub,网关,26,uk,Y,N,N
157,gbcax,G网,20,ky,Y,N,Y
158,gdex,GDEX,23,sg,Y,N,N
159,gemini,双子星,6,us,Y,N,N
160,golix,Golix.io,63,us,Y,N,N
161,guldentrader,GuldenTrader,1,,Y,N,N
162,hadax,HADAX,82,sc,Y,N,N
163,hashtoken,加勒比H网,61,cbb,Y,N,Y
164,haxi,哈希交易所,19,la,Y,N,Y
165,hb_top,HB.top汇币网,62,hk,Y,N,Y
166,heat-wallet,Heat Wallet,7,,Y,N,N
167,hellobts,hellobts,4,sg,Y,N,N
168,hitbtc,HitBTC,822,uk,Y,N,N
169,hotbit,Hotbit,204,ee,Y,N,N
170,huobicokr,火币韩国站,0,kr,Y,N,N
171,huobipro,火币全球站,272,sc,Y,Y,Y
172,hypex,HPX,19,au,Y,N,Y
173,idax,IDAX,91,mn,Y,N,N
174,idcm,IDCM,31,sc,Y,N,Y
175,idex,IDEX,333,,Y,N,N
176,independent-reserve,Independent Reserve,12,au,Y,N,N
177,infinitycoin-exchange,InfinityCoin Exchange,1,uk,Y,N,N
178,iquant,i网,64,,Y,N,N
179,isx,ISX,1,,Y,N,N
180,itbit,itBit,1,us,Y,N,N
181,jex,JEX,20,sc,Y,Y,N
182,kdaxpro,Kdax.pro,18,sc,Y,N,N
183,keepbtc,持币网,23,us,Y,N,Y
184,kex,KEX,29,sc,Y,N,N
185,kkcoin,KKCoin,41,sg,Y,N,N
186,kkex,KKEX,16,sc,Y,N,N
187,koinex,Koinex,64,in,Y,N,N
188,koinim,Koinim,3,tr,Y,N,N
189,korbit,Korbit,8,kr,Y,N,N
190,kraken,K网,52,us,Y,N,N
191,kucoin,库币网,359,us,Y,N,N
192,kuna,Kuna,24,,Y,N,N
193,lakebtc,LakeBTC,10,cn,Y,N,N
194,lcex,乐币网,13,sc,Y,N,Y
195,leoxchange,LEOxChange,7,uk,Y,N,N
196,lhang,LBank,112,hk,Y,N,N
197,liqui,李逵,198,ua,Y,N,N
198,litebit,LiteBit.eu,57,nl,Y,N,N
199,livecoin,Livecoin,462,,Y,N,N
200,localtrade,LocalTrade,20,,Y,N,N
201,luno,Luno,4,uk,Y,N,N
202,lykke-exchange,Lykke Exchange,78,ch,Y,N,N
203,mbaex,MBAex,7,sg,Y,N,N
204,mbiwcg,国际交易所,17,kh,Y,N,N
205,mercado-bitcoin,Mercado Bitcoin,3,br,Y,N,N
206,mercatox,Mercatox,275,,Y,N,N
207,mexc,MXC,69,sg,Y,N,N
208,negocie-coins,Negocie Coins,7,br,Y,N,N
209,ngoex,NGOEX,7,ky,Y,N,Y
210,nocks,Nocks,1,,Y,N,N
211,novaexchange,Novaexchange,15,tz,Y,N,N
212,ocx,OCX,54,sg,Y,N,N
213,oex,O网,67,sg,Y,N,Y
214,ok-bit,OK-BIT,4,kr,Y,N,N
215,okcoin-intl,OkCoin国际,4,hk,Y,N,Y
216,okcoinkr,OkCoin韩国站,33,kr,Y,N,Y
217,okex,OKEX,585,us,Y,Y,Y
218,openledger,OpenLedger DEX,144,dk,Y,N,N
219,ore-bz,Ore.Bz,4,,Y,N,N
220,otcbtc,OTCBTC,82,,Y,N,Y
221,otc_huobi_pro,火币点对点平台,0,sc,Y,N,N
222,p2pb2b,P2PB2B,1,,Y,N,N
223,paribu,Paribu,1,tr,Y,N,N
224,poloniex,P网,91,us,Y,N,N
225,prdae,PRDAE,16,us,Y,N,Y
226,purcow,紫牛币交所,56,hk,Y,N,Y
227,qbtc,Q网,92,ky,Y,N,N
228,qryptos,Qryptos,137,jp,Y,N,N
229,quadrigacx,QuadrigaCX,7,ca,Y,N,N
230,quoine,Quoinex,28,jp,Y,N,N
231,rfinex,Rfinex,24,ch,Y,N,N
232,rightbtc,RightBTC,40,ae,Y,N,N
233,ripple-china,Ripple China,2,cn,Y,N,N
234,rootrex,Rootrex,5,uk,Y,N,N
235,shuzibi,DigiFinex,93,sc,Y,N,Y
236,simex,Simex,4,ru,Y,N,N
237,southxchange,SouthXchange,148,,Y,N,N
238,stellar-decentralized-exchange,Stellar Decentralized Exchange,19,,Y,N,N
239,stocks-exchange,Stocks.Exchange,273,,Y,N,N
240,surbtc,Buda,18,cl,Y,N,N
241,switcheo,Switcheo Network,34,,Y,N,N
242,therocktrading,The Rock Trading,16,mt,Y,N,N
243,thinkbit,信币,23,uk,Y,N,N
244,tidebit,Tidebit,10,cn,Y,N,N
245,tidex,Tidex,132,uk,Y,N,N
246,tokencan,T网,18,hk,Y,N,N
247,topbtch,9158交易所,34,hk,Y,N,Y
248,topone,TOP.ONE,16,uk,Y,N,N
249,trade-satoshi,Trade Satoshi,273,uk,Y,N,N
250,triple-dice-exchange,Tripe Dice Exchange,4,jp,Y,N,N
251,ttex,天天交易所,15,hk,Y,N,Y
252,tux-exchange,Tux Exchange,19,ca,Y,N,N
253,ubit,Ubit,43,,Y,N,N
254,uex,UEX,19,sg,Y,N,N
255,union-coins,澳洲U网,58,au,Y,N,Y
256,upbit,Upbit,275,kr,Y,N,N
257,usadae,USADAE,17,us,Y,N,N
258,usd-x,USD X,3,,Y,N,N
259,vbitex,VBITEX,9,sc,Y,N,N
260,vipcoin,VIP交易所,0,sg,Y,N,N
261,vnbig,VNBIG,38,vn,Y,N,N
262,vvbtc,VVBTC,18,ca,Y,N,Y
263,wanshare,WanShare,39,sg,Y,N,Y
264,waves-dex,Waves Decentralized Exchange,73,,Y,N,N
265,wex,WEX,38,us,Y,N,N
266,winmax,WinMax,13,my,Y,N,Y
267,wjwcoin,玩家网,15,uk,Y,N,N
268,xbtc,新比特交易所,16,ca,Y,N,Y
269,xbtce,xBTCe,29,,Y,N,N
270,yex,YEX,38,sg,Y,N,Y
271,yobit,YoBit,376,ru,Y,N,N
272,yoexs,YOEXS,36,ky,Y,N,Y
273,zaif,Zaif,24,jp,Y,Y,N
274,zb,ZB网,184,ws,Y,N,Y
275,zbg,ZBG,28,hk,Y,N,N
276,zbtone,中比特交易所,24,hk,Y,N,Y
277,zebpay,Zebpay,27,in,Y,N,N
278,zgtop,ZG.TOP,38,mn,Y,N,N
279,zhaobi,找币,15,hk,Y,N,Y
280,zxxcoin,Z网,0,sg,Y,N,N
281,zzex,ZZEX,12,sg,Y,N,Y
